id,project_id,repository_id,repository_url,project_url,file_name,file_type,status
146,146,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2655,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
147,147,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2121,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
148,148,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3259,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
149,149,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3088,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
150,150,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2007,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
151,151,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3973,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
152,152,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3747,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
153,153,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2886,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
154,154,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3473,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
155,155,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3029,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
156,156,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2673,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
157,157,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3752,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
158,158,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3148,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
159,159,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2308,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
160,160,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2649,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
161,161,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2208,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
162,162,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3502,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
163,163,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3453,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
164,164,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2999,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
165,165,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2437,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
166,166,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD2736,<files_not_downloaded>,unknown,FAILED_LOGIN_REQUIRED
